,code_commune_INSEE,code_postal,latitude,longitude,nom_commune_complet,nom_departement,nom_region
260,1258,1090,46.0962893261,4.80453564172,Montceaux,Ain,Auvergne-Rhône-Alpes
261,1259,1310,46.219333227,5.11149132074,Montcet,Ain,Auvergne-Rhône-Alpes
262,1260,1800,45.9287482486,5.07092815964,Le Montellier,Ain,Auvergne-Rhône-Alpes
263,1261,1390,45.9622791838,4.94555984534,Monthieux,Ain,Auvergne-Rhône-Alpes
264,1262,1120,45.8909006209,5.01987566185,Montluel,Ain,Auvergne-Rhône-Alpes
265,1262,1120,45.8909006209,5.01987566185,Montluel,Ain,Auvergne-Rhône-Alpes
266,1262,1120,45.8909006209,5.01987566185,Montluel,Ain,Auvergne-Rhône-Alpes
267,1263,1090,46.0849573236,4.7608579486,Montmerle-sur-Saône,Ain,Auvergne-Rhône-Alpes
268,1264,1310,46.1867200301,5.11706011755,Montracol,Ain,Auvergne-Rhône-Alpes
269,1265,1460,46.1795688194,5.59510550127,Montréal-la-Cluse,Ain,Auvergne-Rhône-Alpes
270,1266,1340,46.3252811442,5.11295966315,Montrevel-en-Bresse,Ain,Auvergne-Rhône-Alpes
271,1267,1460,46.1830720992,5.51435812316,Nurieux-Volognat,Ain,Auvergne-Rhône-Alpes
272,1267,1460,46.1830720992,5.51435812316,Nurieux-Volognat,Ain,Auvergne-Rhône-Alpes
273,1268,1300,45.6420014274,5.66039684889,Murs-et-Gélignieux,Ain,Auvergne-Rhône-Alpes
